"","Sample_ID","Sample_date","Sample_site","Response","Value"
"140","19960820-14-972",1996-08-20,"14-972","Lepto",0.270127835883827
"141","19960820-3-996",1996-08-20,"3-996","Lepto",0
"142","19960821-16-970",1996-08-21,"16-970","Lepto",0
"143","19960823-8-994",1996-08-23,"8-994","Lepto",0.691848200570601
"144","19960826-36-873",1996-08-26,"36-873","Lepto",1.07309393970978
"145","19960826-37-890",1996-08-26,"37-890","Lepto",4.77213412928689
"146","19960827-14-972",1996-08-27,"14-972","Lepto",3.09384502545759
"147","19960827-16-970",1996-08-27,"16-970","Lepto",0
"148","19960827-27-918",1996-08-27,"27-918","Lepto",1.30244139367872
"149","19960827-29-905",1996-08-27,"29-905","Lepto",0.654172112749744
"150","19960827-8-994",1996-08-27,"8-994","Lepto",3.82679671488554
"151","19960903-14-972",1996-09-03,"14-972","Lepto",0
"152","19960903-16-970",1996-09-03,"16-970","Lepto",0
"153","19960903-8-994",1996-09-03,"8-994","Lepto",5.4362390144557
"154","19960904-27-918",1996-09-04,"27-918","Lepto",0
"155","19960904-29-905",1996-09-04,"29-905","Lepto",0
"156","19960904-36-873",1996-09-04,"36-873","Lepto",3.35728619732928
"157","19960904-37-890",1996-09-04,"37-890","Lepto",0
"158","19960909-8-994",1996-09-09,"8-994","Lepto",5.80563662182057
"159","19960911-14-972",1996-09-11,"14-972","Lepto",2.86889195658893
"160","19960911-16-970",1996-09-11,"16-970","Lepto",0.189021275927815
"161","19960911-27-918",1996-09-11,"27-918","Lepto",0
"162","19960911-29-905",1996-09-11,"29-905","Lepto",0
"163","19960911-36-873",1996-09-11,"36-873","Lepto",0.738671480504262
"164","19960911-37-890",1996-09-11,"37-890","Lepto",11.988739670336
"165","19960920-14-972",1996-09-20,"14-972","Lepto",0
"166","19960920-16-970",1996-09-20,"16-970","Lepto",0
"167","19960920-27-918",1996-09-20,"27-918","Lepto",0
"168","19960920-29-905",1996-09-20,"29-905","Lepto",0
"169","19960920-36-873",1996-09-20,"36-873","Lepto",0
"170","19960920-37-890",1996-09-20,"37-890","Lepto",0.345384675772075
"171","19960920-8-994",1996-09-20,"8-994","Lepto",0
"172","19960923-3-996",1996-09-23,"3-996","Lepto",0
"173","19960923-8-994",1996-09-23,"8-994","Lepto",0
"174","19960924-14-972",1996-09-24,"14-972","Lepto",0
"175","19960925-16-970",1996-09-25,"16-970","Lepto",0
"176","19961001-27-918",1996-10-01,"27-918","Lepto",0
"177","19961001-29-905",1996-10-01,"29-905","Lepto",0.0329172541283203
"178","19961001-36-873",1996-10-01,"36-873","Lepto",0
"179","19961001-37-890",1996-10-01,"37-890","Lepto",0
"180","19970522-14-972",1997-05-22,"14-972","Lepto",0
"181","19970522-16-970",1997-05-22,"16-970","Lepto",0
"182","19970522-8-994",1997-05-22,"8-994","Lepto",0
"183","19970523-27-918",1997-05-23,"27-918","Lepto",0
"184","19970523-29-905",1997-05-23,"29-905","Lepto",0
"185","19970605-36-873",1997-06-05,"36-873","Lepto",1.34193809964794
"186","19970605-37-890",1997-06-05,"37-890","Lepto",0.82026516250221
"187","19970610-14-972",1997-06-10,"14-972","Lepto",0.0723020802281102
"188","19970610-16-970",1997-06-10,"16-970","Lepto",0
"189","19970610-27-918",1997-06-10,"27-918","Lepto",0
"190","19970610-29-905",1997-06-10,"29-905","Lepto",0.211625127115073
"191","19970610-36-873",1997-06-10,"36-873","Lepto",0
"192","19970610-37-890",1997-06-10,"37-890","Lepto",0.46334458446123
